"bpm","danceability_%","valence_%","energy_%","acousticness_%","instrumentalness_%","liveness_%","speechiness_%","id","cluster"
125,80,89,83,31,0,8,4,1,"cluster_3"
92,67,51,64,28,2,18,9,2,"cluster_0"
138,51,32,53,17,0,31,6,3,"cluster_1"
170,55,58,72,11,0,11,15,4,"cluster_1"
144,65,23,80,14,63,11,6,5,"cluster_1"
141,67,51,64,28,2,18,9,6,"cluster_1"
148,67,83,76,48,0,8,3,7,"cluster_3"
100,67,26,71,37,0,11,4,8,"cluster_0"
130,67,51,64,28,2,18,9,9,"cluster_1"
170,81,56,48,21,0,8,33,10,"cluster_1"
83,67,51,64,28,2,18,9,11,"cluster_0"
150,78,52,82,18,0,15,7,12,"cluster_1"
118,71,65,68,6,0,3,7,13,"cluster_3"
130,51,32,43,83,0,9,3,14,"cluster_2"
174,67,51,64,28,2,18,9,15,"cluster_1"
89,67,51,64,28,2,18,9,16,"cluster_0"
120,78,76,59,43,0,34,3,17,"cluster_3"
78,44,14,9,96,0,10,3,18,"cluster_2"
100,86,67,66,14,0,12,16,19,"cluster_3"
120,63,36,73,0,0,36,4,20,"cluster_0"
140,65,87,74,22,0,42,4,21,"cluster_3"
123,67,51,64,28,2,18,9,22,"cluster_0"
135,48,44,42,12,2,11,3,23,"cluster_1"
133,85,81,67,26,0,12,5,24,"cluster_3"
99,67,51,64,28,2,18,9,25,"cluster_0"
130,79,96,86,9,0,9,9,26,"cluster_3"
107,80,82,80,43,0,14,4,27,"cluster_3"
122,67,51,64,28,2,18,9,28,"cluster_0"
204,67,51,64,28,2,18,9,29,"cluster_1"
110,67,78,85,2,0,33,5,30,"cluster_3"
126,74,35,84,0,0,11,6,31,"cluster_0"
168,67,51,64,28,2,18,9,32,"cluster_1"
98,67,51,64,28,2,18,9,33,"cluster_0"
97,64,51,63,12,0,19,5,34,"cluster_0"
180,72,61,63,67,0,9,28,35,"cluster_1"
120,81,63,68,11,0,11,4,36,"cluster_3"
150,67,51,64,28,2,18,9,37,"cluster_1"
96,75,57,68,9,0,13,6,38,"cluster_0"
95,60,48,79,0,0,12,4,39,"cluster_0"
125,79,96,85,27,0,11,6,40,"cluster_3"
144,56,84,65,23,0,10,6,41,"cluster_3"
90,76,91,50,54,0,7,5,42,"cluster_3"
128,56,38,97,4,0,35,4,43,"cluster_0"
79,67,51,64,28,2,18,9,44,"cluster_0"
144,77,75,58,52,0,23,25,45,"cluster_3"
122,67,49,64,10,0,10,3,46,"cluster_0"
140,71,82,81,11,0,6,5,47,"cluster_3"
134,67,51,64,28,2,18,9,48,"cluster_1"
186,68,49,59,16,0,13,28,49,"cluster_1"
67,67,51,64,28,2,18,9,50,"cluster_0"
106,67,51,64,28,2,18,9,51,"cluster_0"
128,60,23,91,0,0,12,3,52,"cluster_0"
107,67,51,64,28,2,18,9,53,"cluster_0"
130,67,96,88,12,19,8,4,54,"cluster_3"
123,45,13,54,70,0,9,4,55,"cluster_2"
171,67,51,64,28,2,18,9,56,"cluster_1"
137,64,88,72,51,0,17,5,57,"cluster_3"
125,84,85,68,58,0,22,4,58,"cluster_3"
128,86,42,72,59,0,9,19,59,"cluster_2"
130,61,53,58,55,0,27,4,60,"cluster_2"
130,86,59,96,50,1,9,5,61,"cluster_3"
133,70,86,81,25,0,25,5,62,"cluster_3"
101,88,72,59,62,0,9,3,63,"cluster_3"
95,77,53,64,74,0,17,14,64,"cluster_2"
98,67,51,64,28,2,18,9,65,"cluster_0"
173,43,28,66,0,0,23,3,66,"cluster_1"
90,67,51,64,28,2,18,9,67,"cluster_0"
198,67,51,64,28,2,18,9,68,"cluster_1"
140,67,51,64,28,2,18,9,69,"cluster_1"
82,67,51,64,28,2,18,9,70,"cluster_0"
130,67,51,64,28,2,18,9,71,"cluster_1"
81,76,53,53,44,0,9,9,72,"cluster_0"
94,67,51,64,28,2,18,9,73,"cluster_0"
124,67,51,64,28,2,18,9,74,"cluster_0"
128,62,55,78,1,3,23,4,75,"cluster_3"
138,49,42,62,9,0,11,3,76,"cluster_1"
132,58,27,48,50,0,12,3,77,"cluster_2"
131,71,24,47,1,0,27,9,78,"cluster_1"
168,67,51,64,28,2,18,9,79,"cluster_1"
98,67,51,64,28,2,18,9,80,"cluster_0"
102,67,51,64,28,2,18,9,81,"cluster_0"
101,67,51,64,28,2,18,9,82,"cluster_0"
130,63,36,34,76,0,35,9,83,"cluster_2"
142,50,20,64,1,0,12,3,84,"cluster_1"
170,67,51,64,28,2,18,9,85,"cluster_1"
124,67,51,64,28,2,18,9,86,"cluster_0"
110,67,51,64,28,2,18,9,87,"cluster_0"
92,67,51,64,28,2,18,9,88,"cluster_0"
116,82,40,66,39,51,25,7,89,"cluster_0"
129,63,84,82,70,8,9,7,90,"cluster_3"
98,67,51,64,28,2,18,9,91,"cluster_0"
172,67,51,64,28,2,18,9,92,"cluster_1"
150,68,14,76,4,0,10,4,93,"cluster_1"
136,62,19,53,11,0,6,4,94,"cluster_1"
88,67,51,64,28,2,18,9,95,"cluster_0"
143,67,51,64,28,2,18,9,96,"cluster_1"
100,67,51,64,28,2,18,9,97,"cluster_0"
143,56,39,55,14,0,11,13,98,"cluster_1"
112,67,51,64,28,2,18,9,99,"cluster_0"
93,62,57,59,3,0,38,3,100,"cluster_0"
206,43,50,55,50,0,15,10,101,"cluster_1"
88,68,17,71,15,0,11,5,102,"cluster_0"
170,50,37,90,0,0,12,5,103,"cluster_1"
84,62,24,67,21,0,13,28,104,"cluster_0"
134,81,53,72,51,0,12,5,105,"cluster_3"
158,67,51,64,28,2,18,9,106,"cluster_1"
116,67,51,64,28,2,18,9,107,"cluster_0"
117,67,51,64,28,2,18,9,108,"cluster_0"
114,77,65,72,2,0,7,5,109,"cluster_3"
108,61,47,68,0,0,13,3,110,"cluster_0"
144,74,37,53,7,0,21,10,111,"cluster_1"
130,51,18,44,76,0,11,3,112,"cluster_2"
116,77,79,62,33,1,15,3,113,"cluster_3"
121,65,49,78,0,0,17,4,114,"cluster_0"
112,64,54,81,36,0,11,6,115,"cluster_0"
100,67,51,64,28,2,18,9,116,"cluster_0"
150,67,51,64,28,2,18,9,117,"cluster_1"
120,84,96,71,18,0,34,17,118,"cluster_3"
127,82,89,85,4,0,23,6,119,"cluster_3"
90,51,42,61,53,0,9,3,120,"cluster_0"
128,75,79,63,33,0,15,4,121,"cluster_3"
143,64,31,87,4,4,8,4,122,"cluster_1"
139,67,51,64,28,2,18,9,123,"cluster_1"
162,67,51,64,28,2,18,9,124,"cluster_1"
92,81,39,60,31,0,7,3,125,"cluster_0"
95,87,57,55,10,0,29,7,126,"cluster_0"
146,63,88,93,3,0,10,8,127,"cluster_3"
95,55,56,82,12,0,34,5,128,"cluster_0"
115,35,12,30,93,0,10,3,129,"cluster_2"
128,78,59,65,10,0,26,5,130,"cluster_3"
130,82,69,83,3,0,27,5,131,"cluster_3"
127,80,74,77,36,0,11,4,132,"cluster_3"
150,42,20,86,21,0,9,9,133,"cluster_1"
122,78,50,63,27,0,9,5,134,"cluster_0"
140,52,20,85,0,0,7,5,135,"cluster_1"
140,63,22,54,46,0,12,8,136,"cluster_1"
119,67,51,64,28,2,18,9,137,"cluster_0"
110,76,96,72,32,0,9,4,138,"cluster_3"
95,67,51,64,28,2,18,9,139,"cluster_0"
132,67,51,64,28,2,18,9,140,"cluster_1"
125,67,51,64,28,2,18,9,141,"cluster_0"
124,67,51,64,28,2,18,9,142,"cluster_0"
133,93,68,65,42,0,12,25,143,"cluster_3"
112,92,67,66,0,0,36,9,144,"cluster_3"
97,79,92,89,5,0,6,5,145,"cluster_3"
90,59,52,48,38,5,10,11,146,"cluster_0"
80,67,51,64,28,2,18,9,147,"cluster_0"
172,45,33,59,6,0,8,3,148,"cluster_1"
120,60,24,35,73,0,31,3,149,"cluster_2"
140,74,96,80,18,0,5,5,150,"cluster_3"
128,81,90,77,1,0,9,5,151,"cluster_3"
122,78,70,81,57,0,10,5,152,"cluster_3"
130,47,86,92,8,0,5,24,153,"cluster_3"
160,69,61,71,33,0,31,20,154,"cluster_1"
144,73,87,70,6,0,28,5,155,"cluster_3"
122,67,51,64,28,2,18,9,156,"cluster_0"
163,54,40,67,0,0,9,17,157,"cluster_1"
122,67,51,64,28,2,18,9,158,"cluster_0"
154,61,41,74,21,0,40,6,159,"cluster_1"
117,73,31,69,6,0,11,4,160,"cluster_0"
138,78,89,83,10,0,12,5,161,"cluster_3"
96,86,74,80,33,0,8,6,162,"cluster_3"
104,67,51,64,28,2,18,9,163,"cluster_0"
164,67,51,64,28,2,18,9,164,"cluster_1"
118,68,61,82,2,0,50,3,165,"cluster_3"
81,68,51,60,3,0,19,10,166,"cluster_0"
117,67,51,64,28,2,18,9,167,"cluster_0"
174,45,10,37,97,25,64,4,168,"cluster_2"
128,67,51,64,28,2,18,9,169,"cluster_0"
145,60,43,27,94,0,14,4,170,"cluster_2"
150,67,51,64,28,2,18,9,171,"cluster_1"
90,60,13,53,4,0,21,4,172,"cluster_0"
85,55,42,53,17,0,22,3,173,"cluster_0"
180,67,51,64,28,2,18,9,174,"cluster_1"
166,67,51,64,28,2,18,9,175,"cluster_1"
160,67,51,64,28,2,18,9,176,"cluster_1"
160,65,95,80,5,0,41,16,177,"cluster_3"
92,70,81,63,4,0,8,4,178,"cluster_3"
170,56,53,64,11,0,45,6,179,"cluster_1"
96,67,51,64,28,2,18,9,180,"cluster_0"
